Unix Time,Formatted Time,Latitude,Longitude,Altitude,Fix,SIV,Unixtime,RSSI,SNR,Freqerr,Radio State

1743950644.0637875,2025-04-06-15-44-04, 52.2502899,-0.0937364,105.3850021,3,30,107, -69.000, 12.7500, 86531.656, 0
1743950644.2549362,2025-04-06-15-44-04, 52.2502899,-0.0937365,105.3769989,3,30,107, -71.000, 8.0000, 86556.844, 0
1743950644.6074793,2025-04-06-15-44-04, 52.2502899,-0.0937365,105.3700027,3,30,107, -74.000, 12.5000, 86582.031, 0
1743950644.824606,2025-04-06-15-44-04, 213.5179749,-10.1600666,105.3659973,3,30,107, -74.000, 13.2500, 86607.219, -7
1743950645.060163,2025-04-06-15-44-05, 52.2502899,-0.9323927,105.3649979,3,30,107, -74.000, 12.0000, 86632.406, -7
1743950645.2582076,2025-04-06-15-44-05, 52.2502899,-0.0937369,105.3600006,3,30,107, -75.000, 13.2500, 86657.594, 0
1743950645.5021043,2025-04-06-15-44-05, 52.2502899,-0.0937370,105.3539963,3,30,20683, -74.000, 7.0000, 85675.281, -7
1743950645.8170962,2025-04-06-15-44-05, 52.2502899,-0.0937371,105.3509979,3,30,107, -74.000, 12.5000, 86632.406, 0
1743950646.040675,2025-04-06-15-44-06, 52.2502899,-0.0937371,105.3539963,3,30,107, -71.000, 5.5000, 86682.781, 0
1743950646.247013,2025-04-06-15-44-06, 52.2502899,-0.0937377,105.4629974,3,27,107, -74.000, 10.5000, 86682.781, 0
1743950646.5066624,2025-04-06-15-44-06, 52.2502899,-0.0937415,107.8720016,3,30,107, -76.000, 14.7500, 86682.781, 0
1743950646.8258843,2025-04-06-15-44-06, 52.2502861,-0.0937427,114.8280029,3,30,114, -72.000, 12.7500, 86607.219, 0
1743950647.016094,2025-04-06-15-44-07, 52.2502861,-0.0937324,125.0240021,3,29,125, -81.000, 13.5000, 86582.031, 0
1743950647.2260344,2025-04-06-15-44-07, 52.2502823,-0.0936999,137.3549957,3,27,137, -62.000, 5.5000, 86531.656, 0
1743950647.4832294,2025-04-06-15-44-07, 52.2502708,-0.0936440,151.8339996,3,23,151, -69.000, 13.2500, 86506.469, 0
1743950647.7818856,2025-04-06-15-44-07, 52.2502518,-0.0927575,167.7920074,3,20,167, -89.000, 7.7500, 86380.531, -7
1743950648.009849,2025-04-06-15-44-08, 52.2502327,-0.0935039,184.2640076,3,20,184, -83.000, 9.5000, 86380.531, 0
1743950648.1937752,2025-04-06-15-44-08, 52.2502098,-0.0934276,200.1260071,3,21,200, -71.000, 13.2500, 86355.344, 0
1743950648.4702797,2025-04-06-15-44-08, 52.2501869,-0.0933499,215.3130035,3,20,215, -67.000, 12.5000, 86330.156, 0
1743950648.8757617,2025-04-06-15-44-08, 52.2501678,-0.0932738,229.6609955,3,22,229, -74.000, 13.0000, 86330.156, 0
1743950649.2502606,2025-04-06-15-44-09, 52.2501297,-0.0931288,256.4349976,3,18,256, -83.000, 13.0000, 86330.156, 0
1743950649.4681132,2025-04-06-15-44-09, 52.2501106,-0.0930553,268.8359985,3,22,268, -73.000, 13.0000, 86380.531, 0
1743950649.7704594,2025-04-06-15-44-09, 52.2500877,-0.0929823,280.4849854,3,22,280, -72.000, 13.7500, 86330.156, 0
1743950649.9721966,2025-04-06-15-44-09, 52.2500687,-0.0929094,291.5029907,3,23,291, -75.000, 12.7500, 86330.156, 0
1743950650.2326536,2025-04-06-15-44-10, 52.2500496,-0.0928394,301.8489990,3,22,301, -83.000, 13.0000, 86330.156, 0
1743950650.5347195,2025-04-06-15-44-10, 52.2500305,-0.0927690,311.6069946,3,24,311, -89.000, 12.0000, 86380.531, 0
1743950650.7601392,2025-04-06-15-44-10, 52.2500114,-0.0926989,320.8880005,3,21,320, -83.000, 13.2500, 86380.531, 0
1743950651.0247195,2025-04-06-15-44-11, 52.2499924,-0.0926290,329.4930115,3,22,329, -75.000, 13.0000, 86380.531, 0
1743950651.2325175,2025-04-06-15-44-11, 52.2499733,-0.0925592,337.3139954,3,22,337, -71.000, 12.7500, 86355.344, 0
1743950651.535723,2025-04-06-15-44-11, 52.2499542,-0.0924915,344.3519897,3,23,344, -72.000, 13.5000, 86330.156, 0
1743950651.7548506,2025-04-06-15-44-11, 52.2499352,-0.0924247,350.6210022,3,21,350, -75.000, 14.2500, 86330.156, 0
1743950651.9481926,2025-04-06-15-44-11, 52.2499161,-0.0923585,356.3290100,3,21,356, -80.000, 12.5000, 86330.156, 0
1743950652.2907174,2025-04-06-15-44-12, 52.2499008,-0.0922921,361.3890076,3,25,361, -82.000, 13.5000, 86330.156, 0
1743950652.4729543,2025-04-06-15-44-12, 52.2498856,-0.0922264,365.9930115,3,26,365, -81.000, 14.0000, 86355.344, 0
1743950652.736429,2025-04-06-15-44-12, 52.2498665,-0.0921616,369.8789978,3,25,369, -80.000, 13.5000, 86355.344, 0
1743950653.0468252,2025-04-06-15-44-13, 52.2498474,-0.0920965,373.2810059,3,26,373, -83.000, 13.0000, 86355.344, 0
1743950653.2584586,2025-04-06-15-44-13, 52.2498322,-0.0920311,376.1059875,3,28,376, -76.000, 12.5000, 86380.531, 0
1743950653.4547095,2025-04-06-15-44-13, 52.2498131,-0.0919648,378.4500122,3,26,378, -77.000, 12.2500, 86380.531, 0
1743950653.8099942,2025-04-06-15-44-13, 52.2497902,-0.0919006,379.9259949,3,27,379, -73.000, 8.7500, 86405.719, 0
1743950653.9789672,2025-04-06-15-44-13, 52.2497749,-0.0918371,380.5029907,3,27,380, -76.000, 14.7500, 86456.094, 0
