Unix Time,Formatted Time,Latitude,Longitude,Altitude,Fix,SIV,Unixtime,RSSI,SNR,Freqerr,Radio State
1741529797.360518,2025-03-09-14-16-37, 52.6687469,-1.5249497,155.8450012,3,27,160, -59.000, 14.7500, 85977.531, 0
1741529797.60796,2025-03-09-14-16-37, 52.6687469,-1.5249524,155.6360016,3,27,160, -59.000, 13.2500, 86002.719, 0
1741529797.914987,2025-03-09-14-16-37, 52.6687469,-1.5249522,155.5319977,3,27,160, -52.000, 13.0000, 86002.719, 0
1741529798.1236231,2025-03-09-14-16-38, 52.6687469,-1.5249522,155.4730072,3,27,160, -68.000, 13.2500, 86002.719, 0
1741529798.386098,2025-03-09-14-16-38, 52.6687469,-1.5249522,155.4129944,3,27,160, -65.000, 14.2500, 86027.906, 0
1741529798.5828402,2025-03-09-14-16-38, 52.6687469,-1.5249518,155.4170074,3,27,160, -61.000, 13.7500, 86027.906, 0
1741529798.8555772,2025-03-09-14-16-38, 52.6687469,-1.5249511,155.4060059,3,27,160, -66.000, 14.5000, 86027.906, 0
1741529799.1739254,2025-03-09-14-16-39, 52.6687469,-1.5249505,155.3670044,3,27,160, -62.000, 13.2500, 86053.094, 0
1741529799.4427366,2025-03-09-14-16-39, 52.6687469,-1.5249497,155.3780060,3,27,160, -56.000, 15.0000, 86078.281, 0
1741529799.6178231,2025-03-09-14-16-39, 52.6687469,-1.5249490,155.3650055,3,27,160, -61.000, 14.2500, 86078.281, 0
1741529799.838765,2025-03-09-14-16-39, 52.6687469,-1.5249484,155.3860016,3,27,160, -63.000, 14.7500, 86078.281, 0
1741529800.1393692,2025-03-09-14-16-40, 52.6687469,-1.5249478,155.4420013,3,27,160, -52.000, 12.7500, 86078.281, 0
1741529800.3620632,2025-03-09-14-16-40, 52.6687469,-1.5249476,155.5189972,3,27,160, -54.000, 13.0000, 86103.469, 0
1741529800.5621378,2025-03-09-14-16-40, 52.6687469,-1.5249476,155.5809937,3,27,160, -59.000, 14.2500, 86103.469, 0
1741529800.822627,2025-03-09-14-16-40, 52.6687469,-1.5249469,155.6100006,3,28,160, -58.000, 12.5000, 86103.469, 0
1741529801.0773249,2025-03-09-14-16-41, 52.6687469,-1.5249460,155.6329956,3,28,160, -63.000, 12.7500, 86103.469, 0
1741529801.3462987,2025-03-09-14-16-41, 52.6687469,-1.5249459,155.6410065,3,28,160, -57.000, 12.5000, 86128.656, 0
1741529801.806146,2025-03-09-14-16-41, 52.6687469,-1.5249453,155.6499939,3,28,160, -63.000, 12.7500, 86153.844, 0
1741529801.8550365,2025-03-09-14-16-41, 52.6687469,-1.5249443,155.6660004,3,28,160, -62.000, 14.7500, 86153.844, 0
1741529802.0792763,2025-03-09-14-16-42, 52.6687469,-1.5249437,155.7270050,3,28,160, -61.000, 13.5000, 86153.844, 0
1741529802.4099653,2025-03-09-14-16-42, 52.6687469,-1.5249430,155.7200012,3,28,160, -55.000, 14.7500, 86153.844, 0
1741529802.599339,2025-03-09-14-16-42, 52.6687469,-1.5249428,155.6849976,3,28,160, -61.000, 13.5000, 86179.031, 0
1741529802.886454,2025-03-09-14-16-42, 52.6687469,-1.5249431,155.6470032,3,28,160, -58.000, 13.5000, 86179.031, 0
1741529803.1090038,2025-03-09-14-16-43, 52.6687469,-1.5249437,155.6230011,3,28,160, -67.000, 13.2500, 86204.219, 0
1741529803.3800302,2025-03-09-14-16-43, 52.6687469,-1.5249441,155.5720062,3,28,160, -59.000, 13.2500, 86204.219, 0
1741529803.584515,2025-03-09-14-16-43, 52.6687469,-1.5249444,155.5500031,3,28,160, -62.000, 14.0000, 86204.219, 0
1741529803.891612,2025-03-09-14-16-43, 52.6687469,-1.5249449,155.5760040,3,28,160, -56.000, 13.5000, 86229.406, 0
1741529804.1062346,2025-03-09-14-16-44, 52.6687469,-1.5249456,155.5160065,3,28,160, -53.000, 12.7500, 86229.406, 0
1741529804.4067159,2025-03-09-14-16-44, 52.6687469,-1.5249461,155.4920044,3,27,160, -51.000, 12.5000, 86254.594, 0
1741529804.6144845,2025-03-09-14-16-44, 52.6687469,-1.5249465,155.4799957,3,27,160, -59.000, 13.0000, 86279.781, 0
1741529804.8280115,2025-03-09-14-16-44, 52.6687469,-1.5249472,155.2720032,3,27,160, -63.000, 12.7500, 86254.594, 0
1741529805.0861695,2025-03-09-14-16-45, 52.6687469,-1.5249482,155.1979980,3,27,160, -57.000, 12.7500, 86254.594, 0
1741529805.524347,2025-03-09-14-16-45, 52.6687431,-1.5249490,155.1300049,3,27,160, -63.000, 14.5000, 86279.781, 0
1741529805.6095562,2025-03-09-14-16-45, 52.6687431,-1.5249493,155.0410004,3,27,160, -58.000, 12.5000, 86279.781, 0
1741529805.8079848,2025-03-09-14-16-45, 52.6687431,-1.5249499,154.9600067,3,27,160, -59.000, 15.0000, 86304.969, 0
1741529806.0700874,2025-03-09-14-16-46, 52.6687431,-1.5249507,154.8959961,3,26,160, -62.000, 13.0000, 86304.969, 0
1741529806.4366808,2025-03-09-14-16-46, 52.6687431,-1.5249521,154.8350067,3,28,160, -68.000, 9.5000, 86053.094, 0
1741529806.5892727,2025-03-09-14-16-46, 52.6687431,-1.5249529,154.8049927,3,28,160, -60.000, 14.5000, 86330.156, 0
1741529806.945391,2025-03-09-14-16-46, 52.6687431,-1.5249535,154.8079987,3,28,160, -59.000, 13.5000, 86355.344, 0
1741529807.0600934,2025-03-09-14-16-47, 52.6687431,-1.5249541,154.8320007,3,28,160, -61.000, 13.0000, 86355.344, 0
1741529807.4246016,2025-03-09-14-16-47, 52.6687431,-1.5249549,154.7929993,3,28,160, -88.000, 3.7500, 86355.344, 0
1741529807.5881505,2025-03-09-14-16-47, 52.6687431,-1.5249557,154.7160034,3,28,160, -63.000, 14.5000, 86380.531, 0
1741529807.8546913,2025-03-09-14-16-47, 52.6687431,-1.5249566,154.7169952,1,28,34848, -62.000, 6.5000, 86380.531, -7
1741529808.1115043,2025-03-09-14-16-48, 52.6687431,-1.5249571,154.7500000,3,28,160, -58.000, 14.0000, 86405.719, 0
1741529808.4077773,2025-03-09-14-16-48, 52.6687431,-1.5249579,154.7530060,3,28,160, -56.000, 15.2500, 86405.719, 0
1741529808.587878,2025-03-09-14-16-48, 52.6687431,-1.5249586,154.8070068,3,27,160, -57.000, 12.7500, 86405.719, 0
1741529808.8289452,2025-03-09-14-16-48, 52.6687431,-1.5249592,154.8300018,3,27,160, -57.000, 14.5000, 86405.719, 0
1741529809.0910347,2025-03-09-14-16-49, 52.6687431,-1.5249594,154.8439941,3,27,160, -59.000, 13.2500, 86430.906, 0
1741529809.4211838,2025-03-09-14-16-49, 52.6687431,-1.5249598,154.8659973,3,28,160, -60.000, 12.5000, 86430.906, 0
1741529809.6488607,2025-03-09-14-16-49, 52.6687431,-1.5249603,154.8320007,3,28,160, -62.000, 13.0000, 86430.906, 0
1741529809.8665235,2025-03-09-14-16-49, 52.6687431,-1.5249608,154.7590027,3,28,160, -61.000, 12.5000, 86456.094, 0
1741529810.0751996,2025-03-09-14-16-50, 52.6687431,-1.5249612,154.7449951,3,28,160, -59.000, 13.0000, 86430.906, 0
1741529810.4083796,2025-03-09-14-16-50, 52.6687431,-1.5249615,154.7079926,3,28,160, -56.000, 14.7500, 86456.094, 0
1741529810.975001,2025-03-09-14-16-50, 52.6687431,-1.5249616,154.6670074,3,28,160, -65.000, 13.7500, 86481.281, 0
1741529811.1657994,2025-03-09-14-16-51, 52.6687431,-1.5249615,154.6360016,3,27,160, -62.000, 15.2500, 86481.281, 0
1741529811.283196,2025-03-09-14-16-51, 52.6687431,-1.5249612,154.5839996,3,27,160, -66.000, 13.2500, 86481.281, 0
1741529811.378313,2025-03-09-14-16-51, 52.6687431,-1.5249612,154.5809937,3,27,160, -75.000, 13.0000, 86481.281, 0
1741529811.6492803,2025-03-09-14-16-51, 52.6687431,-1.5249619,154.5740051,3,27,160, -59.000, 13.2500, 86481.281, 0
1741529811.8679838,2025-03-09-14-16-51, 52.6687431,-1.5249629,154.6029968,3,27,160, -62.000, 14.5000, 86506.469, 0
1741529812.1829948,2025-03-09-14-16-52, 52.6687431,-1.5249634,154.5829926,3,27,160, -60.000, 14.0000, 86506.469, 0
1741529812.4153597,2025-03-09-14-16-52, 52.6687431,-1.5249635,154.5110016,3,27,160, -59.000, 13.5000, 86506.469, 0
1741529812.637023,2025-03-09-14-16-52, 52.6687431,-1.5249636,154.4559937,3,27,160, -63.000, 12.0000, 86481.281, 0
1741529812.8927538,2025-03-09-14-16-52, 52.6687431,-1.5249637,154.3549957,3,27,160, -59.000, 14.7500, 86531.656, 0
1741529813.0566573,2025-03-09-14-16-53, 52.6687431,-1.5249634,154.3309937,3,27,160, -58.000, 12.7500, 86531.656, 0
1741529813.4178848,2025-03-09-14-16-53, 52.6687431,-1.5249624,154.3350067,3,27,160, -61.000, 12.5000, 86531.656, 0
1741529813.6196358,2025-03-09-14-16-53, 52.6687431,-1.5249612,154.3229980,3,27,160, -63.000, 13.2500, 86531.656, 0
1741529813.842159,2025-03-09-14-16-53, 52.6687431,-1.5249602,154.2879944,3,27,160, -64.000, 11.5000, 86531.656, 0
1741529814.1014607,2025-03-09-14-16-54, 52.6687431,-1.5249594,154.2480011,3,27,160, -54.000, 12.7500, 86531.656, 0
1741529814.3631368,2025-03-09-14-16-54, 52.6687431,-1.5249586,154.3370056,3,27,160, -56.000, 13.2500, 86531.656, 0
1741529814.5667996,2025-03-09-14-16-54, 52.6687431,-1.5249578,154.3059998,3,27,160, -63.000, 15.0000, 86531.656, 0
1741529814.822984,2025-03-09-14-16-54, 52.6687431,-1.5249574,154.2290039,3,27,160, -64.000, 15.0000, 86531.656, 0
1741529815.0884106,2025-03-09-14-16-55, 52.6687431,-1.5249569,154.3690033,3,27,160, -54.000, 12.7500, 86531.656, 0
1741529815.406842,2025-03-09-14-16-55, 52.6687431,-1.5249568,154.5220032,3,27,160, -55.000, 14.5000, 86531.656, 0
1741529815.608319,2025-03-09-14-16-55, 52.6687431,-1.5249568,154.6759949,3,27,160, -54.000, 13.5000, 86531.656, 0
1741529815.8096058,2025-03-09-14-16-55, 52.6687469,-1.5249577,154.6519928,3,27,160, -64.000, 14.0000, 86531.656, 0
1741529816.110351,2025-03-09-14-16-56, 52.6687469,-1.5249575,154.6600037,3,27,160, -66.000, 12.7500, 86506.469, 0
1741529816.4298096,2025-03-09-14-16-56, 52.6687469,-1.5249569,154.6309967,3,27,160, -54.000, 13.2500, 86506.469, 0
1741529816.6024704,2025-03-09-14-16-56, 52.6687469,-1.5249568,154.5980072,3,27,160, -57.000, 12.7500, 86506.469, 0
1741529816.896411,2025-03-09-14-16-56, 52.6687431,-1.5249568,154.5149994,3,27,160, -54.000, 12.5000, 86506.469, 0
1741529817.1736588,2025-03-09-14-16-57, 52.6687431,-1.5249569,154.4980011,3,27,160, -54.000, 12.7500, 86531.656, 0
1741529817.3945448,2025-03-09-14-16-57, -161.1883240,-1.5249573,154.5059967,3,27,160, -55.500, -3.5000, 86531.656, -7
1741529817.6101751,2025-03-09-14-16-57, 52.6687469,-1.5249577,154.5720062,3,27,160, -67.000, 10.7500, 86506.469, -7
1741529817.8461063,2025-03-09-14-16-57, 52.6687469,-1.5249577,154.4929962,3,27,160, -55.000, 15.0000, 86531.656, 0
1741529818.142882,2025-03-09-14-16-58, 52.6687469,-1.5249574,154.5310059,3,27,160, -51.000, 12.5000, 86531.656, 0
1741529818.3665879,2025-03-09-14-16-58, 52.6687431,-1.5249588,154.4909973,3,27,160, -54.000, 14.0000, 86556.844, 0
1741529818.5854766,2025-03-09-14-16-58, 52.6687431,-1.5249600,154.5890045,3,28,160, -58.000, 13.7500, 86556.844, 0
1741529818.8254015,2025-03-09-14-16-58, 52.6687469,-1.5249598,154.6820068,3,28,160, -52.000, 14.5000, 86556.844, 0
1741529819.1486557,2025-03-09-14-16-59, 52.6687469,-1.5249594,154.6880035,3,28,160, -61.000, 12.7500, 86556.844, 0
1741529819.3477716,2025-03-09-14-16-59, 52.6687469,-1.5249591,154.7749939,3,28,160, -54.000, 12.7500, 86556.844, 0
1741529819.6541414,2025-03-09-14-16-59, 52.6687469,-1.5249580,154.9409943,3,28,160, -58.000, 13.7500, 86556.844, 0
1741529819.8440704,2025-03-09-14-16-59, 52.6687469,-1.5249571,154.9420013,3,28,160, -65.000, 15.0000, 86556.844, 0
1741529820.0697513,2025-03-09-14-17-00, 52.6687469,-1.5249559,154.9490051,3,28,160, -54.000, 12.2500, 86531.656, 0
1741529820.4127014,2025-03-09-14-17-00, 52.6687469,-1.5249544,154.9770050,3,28,160, -48.000, 14.0000, 86531.656, 0
1741529820.6152003,2025-03-09-14-17-00, 52.6687469,-1.5249535,154.9600067,3,28,160, -50.000, 13.0000, 86556.844, 0
1741529820.901572,2025-03-09-14-17-00, 52.6687469,-1.5249529,155.0119934,3,27,160, -61.000, 6.0000, 86582.031, 0
1741529821.1191683,2025-03-09-14-17-01, 52.6687469,-1.5249546,154.9579926,3,27,160, -55.000, 13.7500, 86582.031, 0
1741529821.4016187,2025-03-09-14-17-01, 52.6687469,-1.5249557,154.9459991,3,27,160, -70.000, 13.0000, 86582.031, 0
1741529821.5893638,2025-03-09-14-17-01, 52.6687469,-1.5249568,154.9530029,3,27,160, -72.000, 12.7500, 86556.844, 0
1741529821.834532,2025-03-09-14-17-01, 52.6687469,-1.5249567,154.9589996,3,26,160, -50.000, 12.5000, 86556.844, 0
1741529822.0996625,2025-03-09-14-17-02, 52.6687469,-1.5249552,154.8289948,3,26,160, -46.000, 14.7500, 86556.844, 0
1741529822.4061573,2025-03-09-14-17-02, 52.6687469,-1.5249536,154.7460022,3,27,160, -50.000, 14.2500, 86556.844, 0
1741529822.6371682,2025-03-09-14-17-02, 52.6687469,-1.5249538,154.5780029,3,27,160, -50.000, 12.7500, 86556.844, 0
1741529822.8362362,2025-03-09-14-17-02, 52.6687469,-1.5249532,154.7160034,3,27,160, -60.000, 14.5000, 86531.656, 0
1741529823.09781,2025-03-09-14-17-03, 52.6687469,-1.5249538,154.5859985,3,27,160, -58.000, 12.7500, 86582.031, 0
1741529823.3707418,2025-03-09-14-17-03, 52.6687469,-1.5249552,154.5789948,3,27,160, -63.000, 12.7500, 86556.844, 0
1741529823.5501156,2025-03-09-14-17-03, 52.6687469,-1.5249559,154.5359955,3,27,160, -71.000, 14.5000, 86556.844, 0
1741529823.8203883,2025-03-09-14-17-03, 52.6687469,-1.5249562,154.4019928,3,26,160, -62.000, 14.5000, 86556.844, 0
1741529824.1089668,2025-03-09-14-17-04, 52.6687469,-1.5249568,154.2230072,3,25,160, -64.000, 13.5000, 86556.844, 0
1741529824.3423316,2025-03-09-14-17-04, 52.6687469,-1.5249571,154.1620026,3,25,160, -63.000, 14.7500, 86556.844, 0
1741529824.598998,2025-03-09-14-17-04, 52.6687469,-1.5249574,154.1239929,3,26,160, -70.000, 13.5000, 86531.656, 0
1741529824.8014908,2025-03-09-14-17-04, 52.6687469,-1.5249581,154.0670013,3,26,160, -58.000, 13.7500, 86556.844, 0
1741529825.0459747,2025-03-09-14-17-05, 52.6687431,-1.5249590,276.7539978,3,28,160, -63.000, 11.5000, 86531.656, -7
1741529825.380303,2025-03-09-14-17-05, 52.6687431,-1.5249594,153.9450073,3,26,160, -56.000, 15.0000, 86556.844, 0
1741529825.5864727,2025-03-09-14-17-05, 52.6687431,-1.5249598,153.9900055,3,26,160, -56.000, 12.7500, 86531.656, 0
1741529825.9057052,2025-03-09-14-17-05, 52.6687431,-1.5249598,154.0209961,3,26,160, -54.000, 14.0000, 86556.844, 0
1741529826.107923,2025-03-09-14-17-06, 52.6687431,-1.5249586,153.9850006,3,26,160, -57.000, 12.5000, 86556.844, 0
1741529826.3586056,2025-03-09-14-17-06, 52.6687431,-1.5249568,154.1529999,3,25,160, -56.000, 13.7500, 86582.031, 0
1741529826.5691185,2025-03-09-14-17-06, 52.6687431,-1.5249566,154.1950073,3,25,160, -60.000, 14.5000, 86556.844, 0
1741529826.8602562,2025-03-09-14-17-06, 52.6687431,-1.5249563,154.2469940,3,25,160, -51.000, 12.2500, 86531.656, 0
1741529827.0916536,2025-03-09-14-17-07, 52.6687431,-1.5249571,154.3229980,3,26,160, -50.000, 14.5000, 86531.656, 0
1741529827.4169555,2025-03-09-14-17-07, 52.6687431,-1.5249571,154.2429962,3,26,160, -49.000, 13.5000, 86556.844, 0
1741529827.618094,2025-03-09-14-17-07, 52.6687393,-1.5249552,154.2969971,3,25,160, -54.000, 14.2500, 86556.844, 0
1741529827.90269,2025-03-09-14-17-07, 52.6687393,-1.5249534,154.3209991,3,25,160, -51.000, 14.7500, 86607.219, 0
1741529828.1236515,2025-03-09-14-17-08, 52.6687393,-1.5249525,154.3200073,3,27,160, -55.000, 13.0000, 86582.031, 0
1741529828.417195,2025-03-09-14-17-08, 52.6687393,-1.5249512,154.4589996,3,27,160, -64.000, 13.5000, 86607.219, 0
1741529828.6212108,2025-03-09-14-17-08, 52.6687393,-1.5249507,154.5540009,3,27,160, -52.000, 13.5000, 86607.219, 0
1741529828.8210607,2025-03-09-14-17-08, 52.6687431,-1.5249503,154.8209991,3,27,160, -53.000, 12.5000, 86607.219, 0
1741529829.0745173,2025-03-09-14-17-09, 52.6687431,-1.5249487,155.1239929,3,27,160, -50.000, 12.7500, 86607.219, 0
1741529829.4004498,2025-03-09-14-17-09, 52.6687393,-1.5249475,155.1250000,3,27,160, -42.000, 13.0000, 86607.219, 0
1741529829.6157653,2025-03-09-14-17-09, 52.6687393,-1.5249467,155.2530060,3,27,160, -49.000, 12.7500, 86607.219, 0
1741529829.8649175,2025-03-09-14-17-09, 52.6687431,-1.5249463,155.3079987,3,27,160, -41.000, 14.2500, 86607.219, 0
1741529830.1711593,2025-03-09-14-17-10, 52.6687431,-1.5249456,155.3619995,3,27,160, -44.000, 13.2500, 86607.219, 0
1741529830.4354281,2025-03-09-14-17-10, 52.6687431,-1.5249449,155.4900055,3,27,160, -43.000, 12.5000, 86607.219, 0
1741529830.6183472,2025-03-09-14-17-10, 52.6687431,-1.5249445,155.5630035,3,27,160, -46.000, 13.5000, 86607.219, 0
1741529830.8531876,2025-03-09-14-17-10, 52.6687431,-1.5249443,155.7149963,3,27,160, -41.000, 13.2500, 86582.031, 0
1741529831.1043377,2025-03-09-14-17-11, 52.6687431,-1.5249444,155.7760010,3,27,160, -43.000, 12.5000, 86607.219, 0
1741529831.371379,2025-03-09-14-17-11, 52.6687431,-1.5249443,155.8529968,3,26,160, -44.000, 13.5000, 86607.219, 0
1741529831.588179,2025-03-09-14-17-11, 52.6687431,-1.5249436,155.8670044,3,27,160, -39.000, 14.0000, 86607.219, 0
1741529831.897919,2025-03-09-14-17-11, 52.6687431,-1.5249425,155.8800049,3,27,160, -44.000, 12.7500, 86582.031, 0
1741529832.1019177,2025-03-09-14-17-12, 52.6687431,-1.5249414,155.7539978,3,26,160, -47.000, 14.7500, 86607.219, 0
1741529832.3606918,2025-03-09-14-17-12, 52.6687431,-1.5249401,155.7489929,3,26,160, -53.000, 14.0000, 86582.031, 0
1741529832.5788805,2025-03-09-14-17-12, 52.6687431,-1.5249386,155.7270050,3,27,160, -51.000, 12.5000, 86582.031, 0
1741529832.8793826,2025-03-09-14-17-12, 52.6687431,-1.5249376,155.6380005,3,27,160, -52.000, 13.7500, 86582.031, 0
1741529833.1021965,2025-03-09-14-17-13, 52.6687431,-1.5249372,155.6609955,3,27,160, -47.000, 12.7500, 86582.031, 0
1741529833.3643746,2025-03-09-14-17-13, 52.6687431,-1.5249366,155.7070007,3,27,160, -55.000, 12.5000, 86582.031, 0
1741529833.5732858,2025-03-09-14-17-13, 52.6687469,-1.5249361,155.7149963,3,27,160, -59.000, 13.0000, 86582.031, 0
1741529833.8095179,2025-03-09-14-17-13, 52.6687469,-1.5249354,155.7810059,3,28,160, -71.000, 12.5000, 86607.219, 0
1741529834.0776238,2025-03-09-14-17-14, 52.6687469,-1.5249351,155.7980042,3,28,160, -54.000, 12.5000, 86582.031, 0
1741529834.4007285,2025-03-09-14-17-14, 52.6687469,-1.5249350,155.8059998,3,28,160, -62.000, 13.7500, 86556.844, 0
1741529834.6055794,2025-03-09-14-17-14, 52.6687469,-1.5249345,155.8289948,3,28,160, -62.000, 13.7500, 86556.844, 0
1741529834.848942,2025-03-09-14-17-14, 52.6687469,-1.5249341,155.8150024,3,28,160, -56.000, 13.2500, 86556.844, 0
1741529835.0641658,2025-03-09-14-17-15, 52.6687469,-1.5249341,155.8580017,3,28,160, -56.000, 14.7500, 86556.844, 0
1741529835.4213042,2025-03-09-14-17-15, 52.6687469,-1.5249346,155.8849945,3,28,160, -50.000, 14.5000, 86556.844, 0
1741529835.5976233,2025-03-09-14-17-15, 52.6687469,-1.5249346,155.8829956,3,28,160, -49.000, 12.7500, 86556.844, 0
1741529835.8584406,2025-03-09-14-17-15, 52.6687469,-1.5249346,155.8730011,3,28,160, -51.000, 13.7500, 86582.031, 0
1741529836.060117,2025-03-09-14-17-16, 52.6687469,-1.5249348,155.9850006,3,28,160, -54.000, 12.2500, 86582.031, 0
1741529836.38735,2025-03-09-14-17-16, 52.6687469,-1.5249352,155.9420013,3,27,160, -52.000, 13.7500, 86582.031, 0
1741529836.6059287,2025-03-09-14-17-16, 52.6687469,-1.5249354,156.0039978,3,27,160, -65.000, 13.7500, 86582.031, 0
1741529836.8477056,2025-03-09-14-17-16, 52.6687469,-1.5249358,155.9980011,3,27,160, -50.000, 12.7500, 86582.031, 0
1741529837.1489606,2025-03-09-14-17-17, 52.6687469,-1.5249363,155.9859924,3,27,160, -55.000, 13.2500, 86582.031, 0
1741529837.3674605,2025-03-09-14-17-17, 52.6687469,-1.5249370,155.8600006,3,28,160, -57.000, 14.5000, 86556.844, 0
1741529837.587463,2025-03-09-14-17-17, 52.6687469,-1.5249380,155.9160004,3,28,160, -65.000, 13.5000, 86582.031, 0
1741529837.8330972,2025-03-09-14-17-17, 52.6687469,-1.5249387,155.9369965,3,28,160, -63.000, 14.7500, 86582.031, 0
1741529838.0943906,2025-03-09-14-17-18, 52.6687469,-1.5249377,155.9019928,3,28,160, -50.000, 12.2500, 86582.031, 0
1741529838.4607322,2025-03-09-14-17-18, 52.6687469,-1.5249354,155.9279938,3,28,160, -49.000, 13.7500, 86607.219, 0
1741529838.5724957,2025-03-09-14-17-18, 52.6687469,-1.5249331,155.7839966,3,27,160, -50.000, 14.5000, 86607.219, 0
1741529838.83214,2025-03-09-14-17-18, 52.6687469,-1.5249300,155.8070068,3,27,160, -50.000, 13.0000, 86582.031, 0
1741529839.0945926,2025-03-09-14-17-19, 52.6687469,-1.5249287,155.8399963,3,27,160, -47.000, 14.0000, 86607.219, 0
1741529839.42436,2025-03-09-14-17-19, 52.6687469,-1.5249285,155.9080048,3,28,160, -40.000, 12.7500, 86607.219, 0
1741529839.6711214,2025-03-09-14-17-19, 52.6687469,-1.5249282,155.9989929,3,28,160, -43.000, 12.7500, 86607.219, 0
1741529839.8217778,2025-03-09-14-17-19, 52.6687469,-1.5249282,156.0480042,3,28,160, -49.000, 11.2500, 86582.031, 0
1741529840.091583,2025-03-09-14-17-20, 52.6687469,-1.5249279,156.0700073,3,28,160, -45.000, 13.2500, 86582.031, 0
1741529840.4070451,2025-03-09-14-17-20, 52.6687469,-1.5249279,156.0359955,3,28,160, -51.000, 12.5000, 86582.031, 0
