Unix Time,Formatted Time,Latitude,Longitude,Altitude,Fix,SIV,Unixtime,RSSI,SNR,Freqerr,Radio State
1741523926.1320562,2025-03-09-12-38-46, 52.6682396,-1.5248587,298.8829956,3,4,298, -33.000, 12.7500, 91266.906, 0
1741523926.4920955,2025-03-09-12-38-46, 52.6683693,-1.5248936,265.6419983,3,4,298, -35.000, 14.5000, 91241.719, 0
1741523926.5932603,2025-03-09-12-38-46, 52.6683922,-1.5248975,258.2940063,3,4,298, -36.000, 12.5000, 91241.719, 0
1741523926.871467,2025-03-09-12-38-46, 52.6684265,-1.5249020,250.3589935,3,4,298, -39.000, 14.0000, 91241.719, 0
1741523927.1176677,2025-03-09-12-38-47, 52.6684723,-1.5249108,237.9649963,3,4,298, -38.000, 12.5000, 91266.906, 0
1741523927.3809593,2025-03-09-12-38-47, 52.6685295,-1.5249215,222.8739929,3,4,298, -37.000, 13.7500, 91241.719, 0
1741523927.634346,2025-03-09-12-38-47, 52.6685944,-1.5249338,205.7239990,3,4,298, -37.000, 14.7500, 91241.719, 0
1741523927.8412545,2025-03-09-12-38-47, 52.6686325,-1.5249405,194.7960052,3,4,298, -37.000, 15.0000, 91216.531, 0
1741523928.101815,2025-03-09-12-38-48, 52.6686707,-1.5249518,185.4179993,3,4,298, -40.000, 12.7500, 91216.531, 0
1741523928.4718807,2025-03-09-12-38-48, 52.6687241,-1.5249646,172.1250000,3,4,298, -38.000, 12.5000, 91216.531, 0
1741523928.665581,2025-03-09-12-38-48, 52.6687698,-1.5249753,158.9559937,3,4,298, -39.000, 12.7500, 91191.344, 0
1741523928.887552,2025-03-09-12-38-48, 52.6688004,-1.5249788,149.8569946,3,4,298, -41.000, 13.5000, 91191.344, 0
1741523929.1274588,2025-03-09-12-38-49, 52.6688271,-1.5249811,140.5149994,3,4,298, -45.000, 14.2500, 91191.344, 0
1741523929.3872488,2025-03-09-12-38-49, 52.6688766,-1.5249884,127.2099991,3,4,298, -67.000, 12.7500, 91166.156, 0
1741523929.5925317,2025-03-09-12-38-49, 52.6689148,-1.5249960,116.1429977,3,4,298, -46.000, 12.7500, 91166.156, 0
1741523929.83403,2025-03-09-12-38-49, 52.6689682,-1.5250078,102.2590027,3,4,298, -53.000, 14.7500, 91166.156, 0
1741523930.1571672,2025-03-09-12-38-50, 52.6690331,-1.5250218,85.2070007,3,4,298, -51.000, 14.0000, 91166.156, 0
1741523930.3668625,2025-03-09-12-38-50, 52.6691055,-1.5250351,66.7180023,3,4,298, -48.000, 14.2500, 91166.156, 0
1741523930.6253042,2025-03-09-12-38-50, 52.6691322,-1.5250416,58.6129990,3,4,298, -55.000, 14.7500, 91140.969, 0
1741523930.8772902,2025-03-09-12-38-50, 52.6691513,-1.5250448,54.0159988,3,4,298, -53.000, 12.5000, 91166.156, 0
1741523931.0814545,2025-03-09-12-38-51, 52.6691589,-1.5250453,52.6599998,3,4,298, -52.000, 14.5000, 91191.344, 0
1741523931.408213,2025-03-09-12-38-51, 52.6691551,-1.5250443,53.2249985,3,4,298, -53.000, 13.5000, 91241.719, 0
1741523931.6075993,2025-03-09-12-38-51, 52.6691589,-1.5250448,52.6570015,3,4,298, -60.000, 14.7500, 91216.531, 0
1741523931.8582163,2025-03-09-12-38-51, 52.6691551,-1.5250444,53.4370003,3,4,298, -58.000, 13.0000, 91241.719, 0
1741523932.1628163,2025-03-09-12-38-52, 52.6691360,-1.5250406,59.5040016,3,4,298, -54.000, 12.7500, 91266.906, 0
1741523932.387785,2025-03-09-12-38-52, 52.6690979,-1.5250319,69.5869980,3,4,298, -56.000, 12.7500, 91266.906, 0
1741523932.5701735,2025-03-09-12-38-52, 52.6690674,-1.5250238,79.1699982,3,4,298, -48.000, 12.2500, 91266.906, 0
1741523932.888463,2025-03-09-12-38-52, 52.6690254,-1.5250126,90.1959991,3,4,298, -58.000, 12.7500, 91317.281, 0
1741523933.1143215,2025-03-09-12-38-53, 52.6689873,-1.5250041,100.8840027,3,4,298, -60.000, 14.2500, 91342.469, 0
1741523933.4128084,2025-03-09-12-38-53, 52.6689453,-1.5249951,111.1709976,3,4,298, -63.000, 14.7500, 91418.031, 0
1741523933.7150786,2025-03-09-12-38-53, 52.6689186,-1.5249884,118.7939987,3,4,298, -66.000, 14.0000, 91468.406, 0
1741523933.9282591,2025-03-09-12-38-53, 52.6688957,-1.5249836,124.5749969,3,4,298, -62.000, 14.7500, 91468.406, 0
1741523934.1656413,2025-03-09-12-38-54, 52.6688843,-1.5249799,128.2510071,3,4,298, -56.000, 14.2500, 91493.594, 0
1741523934.384366,2025-03-09-12-38-54, 52.6688576,-1.5249758,134.9649963,3,4,298, -56.000, 13.0000, 91543.969, 0
1741523934.5851936,2025-03-09-12-38-54, 52.6688271,-1.5249707,143.0110016,3,4,298, -61.000, 14.2500, 91569.156, 0
1741523934.8369782,2025-03-09-12-38-54, 52.6688118,-1.5249664,147.6889954,3,4,298, -58.000, 13.7500, 91594.344, 0
1741523935.183936,2025-03-09-12-38-55, 52.6687927,-1.5249631,152.3439941,3,4,298, -57.000, 13.2500, 91619.531, 0
1741523935.3679476,2025-03-09-12-38-55, 52.6687813,-1.5249603,155.8950043,3,4,298, -55.000, 13.5000, 91695.094, 0
1741523935.6762185,2025-03-09-12-38-55, 52.6687775,-1.5249587,156.6779938,3,4,298, -59.000, 14.5000, 91644.719, 0
1741523935.885701,2025-03-09-12-38-55, 52.6687622,-1.5249554,161.0720062,3,4,298, -47.000, 12.5000, 91720.281, 0
1741523936.1178503,2025-03-09-12-38-56, 52.6687317,-1.5249497,169.2599945,3,4,298, -49.000, 15.0000, 91770.656, 0
1741523936.3969998,2025-03-09-12-38-56, 52.6687088,-1.5249450,175.0260010,3,4,298, -57.000, 14.5000, 91821.031, 0
1741523936.6091125,2025-03-09-12-38-56, 52.6687050,-1.5249438,177.0659943,3,4,298, -54.000, 12.2500, 91846.219, 0
1741523936.9308703,2025-03-09-12-38-56, 52.6686974,-1.5249426,178.6999969,3,4,298, -60.000, 12.5000, 91821.031, 0
1741523937.123797,2025-03-09-12-38-57, 52.6686974,-1.5249420,179.5189972,3,4,298, -54.000, 13.2500, 91821.031, 0
1741523937.4079268,2025-03-09-12-38-57, 52.6686974,-1.5249412,179.2089996,3,4,298, -53.000, 14.2500, 91821.031, 0
1741523937.6147242,2025-03-09-12-38-57, 52.6687012,-1.5249414,178.1739960,3,4,298, -55.000, 13.5000, 91871.406, 0
1741523937.9366624,2025-03-09-12-38-57, 52.6687088,-1.5249420,177.2420044,3,4,298, -52.000, 14.2500, 91795.844, 0
1741523938.1175332,2025-03-09-12-38-58, 52.6687088,-1.5249397,177.0010071,3,4,298, -48.000, 12.5000, 91821.031, 0
1741523938.3613179,2025-03-09-12-38-58, 52.6687088,-1.5249377,176.1280060,3,4,298, -49.000, 12.5000, 91795.844, 0
1741523938.6598206,2025-03-09-12-38-58, 52.6687202,-1.5249389,172.5890045,3,4,298, -52.000, 13.0000, 91795.844, 0
1741523938.8890357,2025-03-09-12-38-58, 52.6687279,-1.5249406,170.8829956,3,4,298, -54.000, 13.5000, 91846.219, 0
1741523939.0966759,2025-03-09-12-38-59, 52.6687393,-1.5249403,169.2929993,3,4,298, -51.000, 13.7500, 91896.594, 0
1741523939.354197,2025-03-09-12-38-59, 52.6687355,-1.5249379,169.4400024,3,4,298, -53.000, 14.5000, 91921.781, 0
1741523939.6923306,2025-03-09-12-38-59, 52.6687508,-1.5249383,166.8029938,3,4,298, -58.000, 13.5000, 91921.781, 0
1741523939.9354515,2025-03-09-12-38-59, 52.6687584,-1.5249432,164.5070038,3,4,298, -56.000, 13.5000, 91997.344, 0
